competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_movecount,movecount_solution
SSSARubik2016,8.6,f,A,4,UR2+ DR3+ DL4+ UL2+ U4- R2+ D4+ L2- ALL6+ y2 U1- R6+ D5+ L1- ALL4+ DL UL,8,DR5+ DL4- ul6- y2 dr1- D5- R6+ UL1+ \2-
SSSARubik2016,8.6,f,A,5,UR2+ DR3- DL4+ UL5- U2+ R6+ D2- L1+ ALL1- y2 U5- R6+ D0+ L5- ALL1- DR,9,DR1+ U1+ R6- y2 ul4- dl5+ dr3+ ur2+ R6+ UL5+
SacCubingXVII2024,8.6,c,B,1,UR6+ DR0+ DL6+ UL3+ U1+ R5- D0+ L1+ ALL1+ y2 U0+ R0+ D1+ L3+ ALL2-,8,DR1- UL2+ D5- ALL3+ y2 dl5- L2- DL1- /6+
SacCubingXVII2024,8.6,c,B,2,UR4- DR4- DL0+ UL4- U0+ R0+ D4+ L1- ALL2+ y2 U0+ R3+ D0+ L4- ALL0+,7,UR4- L5+ ul4- ALL2- y2 R1+ UL4+ UR4-
SacCubingXVII2024,8.6,c,B,3,UR4- DR0+ DL3+ UL4+ U3- R3- D0+ L2- ALL5+ y2 U3+ R3- D5- L5+ ALL5+,9,UR5- DL3- UL2- U2- y2 dr4+ D5+ R1+ UL5- UR2+
SacCubingXVII2024,8.6,c,B,4,UR2- DR5+ DL3+ UL1- U4+ R2- D4- L4+ ALL0+ y2 U5- R6+ D3+ L0+ ALL2+,10,DR1- DL5- UL1- D2+ \2- y2 dl5- ur4- D3- R1+ UR5+
SacCubingXVII2024,8.6,c,B,5,UR4+ DR0+ DL3- UL5- U1- R5- D5- L0+ ALL5+ y2 U2+ R1+ D1+ L5- ALL3-,9,UR2+ DL4- R1- ur2- dr5- \4- y2 L5- UL2- DR1-
SaltaalCuboV22024,8.6,f,A,1,UR3- DR2- DL0+ UL3+ U1- R3+ D5- L5+ ALL3- y2 U3+ R3+ D0+ L4- ALL4-,9,DR2+ UL1+ D5+ L3+ dr4+ y2 R3- L5- UL3- ALL1+
SaltaalCuboV22024,8.6,f,A,2,UR1- DR1+ DL2+ UL6+ U5- R4+ D6+ L2- ALL3+ y2 U4+ R2+ D1- L5- ALL3-,10,DR3- DL6- R1- \4- y2 dr3- D1+ R2+ L5+ UR4- \2+
SaltaalCuboV22024,8.6,f,A,3,UR0+ DR4- DL6+ UL0+ U1- R5- D1+ L6+ ALL3+ y2 U2+ R0+ D5+ L4- ALL0+,8,DR3- U1+ ur6- ul5+ ALL3- y2 D5- U2- L4+
SaltaalCuboV22024,8.6,f,A,4,UR2+ DR1- DL2+ UL4- U2+ R0+ D3+ L5+ ALL2+ y2 U5- R4+ D5+ L3+ ALL2+,8,DR1- DL3- dl5+ y2 ul1+ ur2+ D5- UL3- UR4-
SaltaalCuboV22024,8.6,f,A,5,UR0+ DR4+ DL4- UL0+ U0+ R2+ D1- L3+ ALL2- y2 U4- R3+ D2- L5+ ALL4+,8,DL1+ R6- ul3- ALL6- y2 D2- U4+ DL5- DR3-
SantaFe2017,8.6,c,D,1,UR1+ DR6+ DL1- UL6+ U1- R1- D5- L4+ ALL3+ y2 U6+ R5+ D6+ L2- ALL6+ UR DR UL,9,UR6- L3+ ALL3+ y2 ul1+ dr5+ R1+ L4- DL6+ UR6+
SantaFe2017,8.6,c,D,2,UR4+ DR1+ DL4- UL0+ U3- R4- D3+ L5+ ALL5+ y2 U3- R5- D0+ L6+ ALL2+ DL UL,8,UR1- L1- ul5- y2 D1+ U3+ DL6+ DR5+ /3-
SantaFe2017,8.6,c,D,3,UR5- DR0+ DL5- UL2+ U3- R3+ D3+ L3- ALL1- y2 U3+ R4+ D3- L3- ALL3- UR,9,UR2+ DL2+ UL4+ /3- ALL4+ y2 R1- DL3+ UR3- /3+
SantaFe2017,8.6,c,D,4,UR3+ DR5+ DL5+ UL1- U5+ R4- D1- L2+ ALL5- y2 U0+ R0+ D0+ L0+ ALL5- DL,7,DR4- DL5- UL5+ L6- ul1+ y2 dl4- dr3-
SantaFe2017,8.6,c,D,5,UR5+ DR1- DL5- UL4+ U5- R1+ D2+ L2+ ALL1+ y2 U1+ R6+ D1+ L5- ALL4+ UR UL,10,DR1+ DL3+ UL4- R6- ur1- ALL3+ y2 R5- U6+ UL5+ DR1-
ScarboroughSkewbOff2023,8.6,c,A,1,UR3- DR2+ DL2+ UL3- U2- R5+ D4- L1- ALL4- y2 U0+ R0+ D4+ L4+ ALL0+ DR UL,8,UR4- L2+ ul2- y2 ul2- dl1- dr5- DL4- \4+
ScarboroughSkewbOff2023,8.6,c,A,2,UR0+ DR2- DL2- UL2+ U0+ R0+ D2+ L5+ ALL1- y2 U3+ R1- D5+ L4- ALL5- UR DR UL,9,DR2+ UL2- L3- ALL1- y2 R6+ L5- UL3- DR5- /3-
ScarboroughSkewbOff2023,8.6,c,A,3,UR3+ DR1- DL0+ UL3- U1+ R1+ D1- L1+ ALL6+ y2 U1- R2- D2+ L4+ ALL5- UL,9,UR3- DL2+ U2+ ul4+ y2 dl2+ U1+ DL4- DR2+ \1+
ScarboroughSkewbOff2023,8.6,c,A,4,UR2- DR0+ DL0+ UL5+ U6+ R0+ D4- L3+ ALL1+ y2 U4+ R1- D1+ L2- ALL5+ DL UL,10,UR2+ DL4+ U1+ ur4+ ALL4+ y2 dl5- D1- R1+ U4- L2+
ScarboroughSkewbOff2023,8.6,c,A,5,UR6+ DR6+ DL5+ UL0+ U2- R4+ D1+ L2- ALL3- y2 U0+ R0+ D4+ L0+ ALL4- UR DL UL,7,UR4- DL3- D3+ ALL1+ y2 ur6+ D4- /2-
ShenzhenOpen2018,8.6,d,A,1,UR1+ DR5+ DL0+ UL3- U4+ R1- D6+ L1+ ALL1- y2 U3+ R1+ D3- L2- ALL0+ UR DR DL,9,UR2- DR3- D4+ L2+ /1- y2 R1+ UL1- DL3+ UR2-
ShenzhenOpen2018,8.6,d,A,2,UR6+ DR5+ DL3+ UL0+ U0+ R3+ D3+ L4- ALL3- y2 U1- R6+ D2- L0+ ALL5+ UR DL,8,UR2- DL1+ U4- \4+ y2 ur5- D2+ R6+ U1+
ShenzhenOpen2018,8.6,d,A,3,UR3- DR6+ DL5+ UL1+ U6+ R6+ D2- L3- ALL3- y2 U0+ R5+ D6+ L6+ ALL3- UR DR DL,8,UR3+ DL3- U5+ D6- y2 ul2- dl1- R5- DL6+
ShenzhenOpen2018,8.6,d,A,4,UR3+ DR2- DL4- UL4+ U6+ R5- D1+ L5+ ALL2- y2 U1- R2- D1- L4- ALL0+ UR DR UL,9,UR3- DL5+ UL2+ R5- dr5- y2 L4+ DR1+ UR1+ \2+
ShenzhenOpen2018,8.6,d,A,5,UR5- DR5- DL2- UL3+ U1+ R4+ D1+ L5- ALL4+ y2 U2+ R0+ D3- L1- ALL6+ UR DL,9,DR6- UL4+ U3- dl3- y2 dl5+ D2+ U2- DL1+ /2+
SideEventsBangaloreMay2024,8.6,e,A,1,UR2+ DR2- DL2+ UL0+ U2+ R3+ D3+ L4+ ALL5- y2 U4+ R1- D0+ L1+ ALL5+,8,DR3- UL4- L2- y2 ur5+ R5+ L1- UR4- /2-
SideEventsBangaloreMay2024,8.6,e,A,2,UR2- DR2- DL4- UL2- U5- R6+ D4- L4- ALL1- y2 U2+ R3- D4+ L1- ALL2+,9,DR2- UL2- U1- ALL1- y2 R5- L3+ UL2- DR4- \4+
SideEventsBangaloreMay2024,8.6,e,A,3,UR1- DR5+ DL1+ UL3- U5- R0+ D2+ L2+ ALL4- y2 U2- R3+ D4+ L1- ALL5-,9,UR4- U1+ D4+ dl1+ \1+ y2 ur3+ UL5+ DL4- UR3-
SideEventsBangaloreMay2024,8.6,e,A,4,UR6+ DR3- DL1+ UL5+ U4- R1+ D6+ L3- ALL4- y2 U3- R2+ D0+ L5- ALL5-,8,DR4- UL5+ L4+ ul2+ y2 ur3- UL5+ UR2- /1-
SideEventsBangaloreMay2024,8.6,e,A,5,UR2- DR6+ DL3- UL1- U0+ R2- D6+ L4+ ALL1- y2 U5- R5+ D0+ L6+ ALL1-,9,UR4- DR3+ U5- R1- y2 ul3+ ur3+ R4- UL6+ UR1-
SideEventsPuebla2019,8.6,d,A,1,UR2- DR5+ DL5- UL4+ U4- R5+ D0+ L4- ALL6+ y2 U0+ R4- D0+ L0+ ALL6+ UL,7,UR2+ DR5- DL5+ R5- dr2- y2 dl6+ R4+
SideEventsPuebla2019,8.6,d,A,2,UR5+ DR3+ DL1- UL5+ U3+ R0+ D1+ L6+ ALL6+ y2 U4+ R4+ D4+ L3+ ALL2+ UR DL UL,10,UR5- DR3- UL2+ U2+ y2 ul1+ dl1+ D4- L3- UR4- ALL4+
SideEventsPuebla2019,8.6,d,A,3,UR3+ DR5- DL3+ UL6+ U1- R6+ D6+ L1+ ALL4- y2 U0+ R5+ D3- L2+ ALL0+ DL,9,DR4- U4+ L2+ ALL5- y2 dl6+ R5- L5- DL3+ /3-
SideEventsPuebla2019,8.6,d,A,4,UR6+ DR4+ DL6+ UL1- U4- R4- D4- L4- ALL3- y2 U1- R1- D5+ L4- ALL3-,8,UR6- DL6- UL5+ dr1- y2 dl4- D3+ DL4+ UR1+
SideEventsPuebla2019,8.6,d,A,5,UR2- DR4- DL5- UL2- U1- R4- D4+ L5+ ALL3+ y2 U4- R2+ D5+ L0+ ALL3- DR DL,9,DR2- U5+ D5- L2+ /6- y2 dr2+ R1- DR5- UR4+
SilentSouthAustralia2023,8.6,d,A,1,UR5- DR0+ DL4- UL4- U0+ R1- D4+ L0+ ALL2- y2 U6+ R1- D4+ L3- ALL3- DR DL,10,UR1+ UL4- R5+ dr1- ALL1- y2 dr4+ U1+ L3+ DR4- UR5+
SilentSouthAustralia2023,8.6,d,A,2,UR3+ DR0+ DL2- UL5- U5+ R3- D6+ L5- ALL5+ y2 U5+ R1+ D0+ L0+ ALL3- UR,7,UR3- DR4- R5- /4- y2 ul2+ U4- UR1-
SilentSouthAustralia2023,8.6,d,A,3,UR3- DR0+ DL4- UL3+ U6+ R3+ D5+ L2+ ALL6+ y2 U0+ R5- D5- L0+ ALL1+ DR,7,DL1- U6- \3- ALL4+ y2 ul5- dl3- DR5+
SilentSouthAustralia2023,8.6,d,A,4,UR4- DR5- DL0+ UL2+ U5+ R5+ D2+ L2+ ALL5- y2 U5+ R2- D6+ L6+ ALL1+ UL,9,UR4+ DL3+ UL5+ ur3+ ul1+ ALL6- y2 R5- DL6+ UR5-
