competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_tickcount,tickcount_solution
LLSMeetingDays2018,21.8,1,A,1,UR0+ DR5- DL5- UL5+ U5- R5+ D5+ L1- ALL4+ y2 U0+ R2- D5+ L1+ ALL2- UR UL,25,DL5+ L4- ul2+ /6- y2 dl1+ D4- R2+ DL1-
LLSMeetingDays2018,21.8,1,A,2,UR2- DR5- DL3+ UL6+ U2- R2+ D5+ L5+ ALL4- y2 U1+ R5- D2- L1+ ALL4+ UR DR DL UL,21,DR3- UL2- R4- ur1+ y2 dr1+ R3+ UL1- DR2+ \4-
LLSMeetingDays2018,21.8,1,A,3,UR4+ DR2- DL2- UL2+ U6+ R5- D4+ L0+ ALL4- y2 U1+ R1+ D2+ L2- ALL3+,22,DR3+ D3- /1+ ALL4- y2 dr4- U2- L2+ DR2- UR1+
LLSMeetingDays2018,21.8,1,A,4,UR1- DR4- DL5+ UL6+ U5+ R2- D6+ L6+ ALL5- y2 U2+ R3- D3- L1+ ALL2+ DR DL,25,DR5- DL2- UL3- U5+ /3+ ALL2- y2 U1- UL1- DR3+
LLSMeetingDays2018,21.8,1,A,5,UR5+ DR3+ DL2- UL0+ U6+ R3+ D4- L3- ALL4+ y2 U1- R2- D3- L2- ALL4+ UR UL,16,DL3+ UL1+ R1+ L1+ dl5+ ul1+ y2 DL2+ DR1+ UR1+
N8W8Summer2016,21.8,c,B,1,UR5- DR1+ DL5+ UL1+ U2+ R1+ D2+ L4+ ALL2- y2 U0+ R4- D5- L1+ ALL2- UR DR DL,21,UR2+ DR1+ DL2+ D1+ dl3- y2 ul3- dl1- ur2- D1+ L1- DR4+
N8W8Summer2016,21.8,c,B,2,UR3- DR3- DL0+ UL3- U3- R1+ D4+ L1- ALL2+ y2 U2- R2+ D5+ L3+ ALL2- UL,22,UR5+ UL4+ D1- ALL2- y2 dl1- U2+ DL3- DR2- /2-
N8W8Summer2016,21.8,c,B,3,UR3+ DR5- DL3- UL1- U4- R2+ D4+ L6+ ALL0+ y2 U0+ R2+ D6+ L3- ALL2- DR DL,25,DL4+ UL2+ L4+ y2 dr2- R2- L3- DL6+ /1- \1-
N8W8Summer2016,21.8,c,B,4,UR2- DR5- DL5- UL4- U3- R5+ D2+ L3+ ALL2+ y2 U6+ R0+ D2- L2+ ALL4-,25,DL3- UL3- R2+ D1- y2 ul2- U2- UL2- DR2+ UR2- \5+ ALL1-
N8W8Summer2016,21.8,c,B,5,UR2- DR4+ DL2+ UL3+ U2- R5- D6+ L5- ALL0+ y2 U2- R2- D1- L1- ALL3- DR DL,16,UR3+ U2- dr2- y2 ul2- dr1- DL1+ UR2+ \3-
SaoMiguelBlindSides2024,21.8,f,A,1,UR1- DR2- DL0+ UL4+ U3- R0+ D4+ L3- ALL4+ y2 U1- R2- D1+ L3- ALL2+,18,UR1+ DR2+ UL1- D4- dr1+ ALL2- y2 D1- U1- L3+ UR2+
SaoMiguelBlindSides2024,21.8,f,A,2,UR0+ DR0+ DL4- UL2+ U1- R0+ D5- L5+ ALL6+ y2 U0+ R5- D2- L5+ ALL4+,17,DL3- U1- ul1+ y2 L2- DL3- DR5+ \2-
SaoMiguelBlindSides2024,21.8,f,A,3,UR2- DR3- DL1+ UL1- U2- R5- D4+ L4+ ALL6+ y2 U2- R2- D2- L6+ ALL1+,27,DR2- UL4- U3- /5- y2 ul1- U2+ L6+ DR2+ /2+
SaoMiguelBlindSides2024,21.8,f,A,4,UR3+ DR4+ DL2+ UL4+ U5+ R5+ D5+ L6+ ALL4+ y2 U4+ R0+ D3+ L1+ ALL3-,19,D1+ /4+ \4+ ALL1+ y2 ul2+ D3- U3- UL1-
SaoMiguelBlindSides2024,21.8,f,A,5,UR5+ DR6+ DL2+ UL3- U2+ R4- D2- L3- ALL5+ y2 U5- R1- D1- L2- ALL1-,28,UR1- DR6- UL4+ U5+ \2+ y2 D1+ U2+ UL2+ UR1+ ALL4+
AsianChampionship2018,22.0,1,B,1,UR1- DR0+ DL1+ UL0+ U4- R4- D5+ L0+ ALL1- y2 U1+ R4- D1- L1- ALL0+,23,UR5+ DL1- D5- dl4+ ALL1+ y2 D1+ R4+ U1- L1+
